Name,Rating
Johnetta,1400
Shizuko,1400
Sung,1400
Myrna,1400
Lisandra,1400
Kathie,1400
Magali,1400
Adelia,1400
Alpha,1400
Charisse,1400
Marla,1400
Stacee,1400
Wiley,1400
Stefanie,1400
Ella,1400
Blondell,1400
Karleen,1400
Stephenie,1400
Jamey,1400
Holli,1400
Angelika,1400
Wendell,1400
Berta,1400
Dalton,1400
Theresia,1400
Cleora,1400
Marcos,1400
Rema,1400
Augustina,1400
Heather,1400
Lisette,1400
Emilee,1400
Geraldo,1400
Rivka,1400
Ilene,1400
Eldora,1400
Beckie,1400
Rosalba,1400
Tiesha,1400
Cristal,1400
Mora,1400
Agustin,1400
Roselyn,1400
Ciera,1400
Rasheeda,1400
Monica,1400
Holly,1400
Candelaria,1400
Jessi,1400
Pia,1400
